,Class,Train_count,Test_count,val_count
0,AGN,38113,100,1887
1,CART,7807,100,400
2,Cepheid,13088,100,683
3,Delta Scuti,19611,100,1039
4,Dwarf Novae,7608,100,417
5,EB,38036,100,1964
6,ILOT,7090,100,371
7,KN,4211,100,215
8,M-dwarf Flare,1780,100,79
9,PISN,37996,100,2004
10,RR Lyrae,13278,100,755
11,SLSN,37993,100,2007
12,SNI91bg,27207,100,1430
13,SNII,38018,100,1982
14,SNIa,38000,100,2000
15,SNIax,26610,100,1420
16,SNIb/c,37935,100,2065
17,TDE,38023,100,1977
18,uLens,16652,100,940
19,Total,449056,1900,23635
